urgency,subject
0,Typo in /debian/README
1,[R] Confidence-Intervals.... help...
0,Re: [R] Confidence-Intervals.... help...
1,Re: Broken ACPI with kernel 2.6.18-4-686 in HP nx6110 laptop
0,[R] Failure of mcsamp() but not mcmcsamp()
0,Your daily e-mail from the BBC
0,CNN Alerts: bush
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,[perl #42349] [TODO] dotnet - fix various ops for 64 bit architectures 
0,[perl #42350] [TODO] fix kludge in find_type op 
0,[perl #42352] [TODO] fix or remove strange TODO item in hash() op 
0,[perl #42353] [TODO] perform a dynamic lookup if needed in pic_infix__() op 
0,[perl #42354] [TODO] preserve type system in pic_inline_sub__() op 
0,[perl #42355] [TODO] use ARG_MAX in pic_callr__() op 
0,Re: errors when reinstalling kernel-2.6.19 on fedora core 6
0,[perl #42356] [TODO] verify $1 didn't change in pic_callr__() op 
0,Re: [R] Reasons to Use R
0,[sugar] A place to point new developers
1,Re: libsmbclient access to Vista shares
0,Re: [R] Reasons to Use R
1,svn commit: samba r22132 - in branches: SAMBA_3_0/source/modules 	SAMBA_3_0/source/smbd SAMBA_3_0_25/source/modules 	SAMBA_3_0_25/source/smbd
1,Slow Mouse Cursor
0,News Summary
1,[R] [Fwd: Re:  regular expression]
0,Your RefWorks Login Information
1,[R] How do I back transforme ordinary log-krigged prdiction values?
1,Re: [perl #42339] [CAGE] Test Valid and Invalid Parrot Flags
0,CNN Alerts: bush
1,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,[R] Plot symbols dimensions
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
0,FNC Alert
0,[perl #42359] [PATCH] Assorted cleanups - part III (Intel C++) 
0,CNN Breaking News
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
1,svn commit: samba r22133 - in branches/SAMBA_4_0: . 	source/script/tests
1,Build status as of Mon Apr  9 00:00:02 2007
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
